AirConditionSwitch_mean,AirConditionSwitch_median,AirConditionSwitch_min,AirConditionSwitch_max,AirConditionSwitch_std,AirConditionSwitch_first,AirConditionSwitch_last,start_ts,AirConditionSwitch_end_ts,AirConditionSwitch_n_events,ClimateAuto_mean,ClimateAuto_median,ClimateAuto_min,ClimateAuto_max,ClimateAuto_std,ClimateAuto_first,ClimateAuto_last,ClimateAuto_end_ts,ClimateAuto_n_events,HeaterSwitch_mean,HeaterSwitch_median,HeaterSwitch_min,HeaterSwitch_max,HeaterSwitch_std,HeaterSwitch_first,HeaterSwitch_last,HeaterSwitch_end_ts,HeaterSwitch_n_events,EVBatteryStateOfCharge_mean,EVBatteryStateOfCharge_median,EVBatteryStateOfCharge_min,EVBatteryStateOfCharge_max,EVBatteryStateOfCharge_std,EVBatteryStateOfCharge_first,EVBatteryStateOfCharge_last,EVBatteryStateOfCharge_end_ts,EVBatteryStateOfCharge_n_events,TargetTemperature_mean,TargetTemperature_median,TargetTemperature_min,TargetTemperature_max,TargetTemperature_std,TargetTemperature_first,TargetTemperature_last,TargetTemperature_end_ts,TargetTemperature_n_events,TemperatureIn_mean,TemperatureIn_median,TemperatureIn_min,TemperatureIn_max,TemperatureIn_std,TemperatureIn_first,TemperatureIn_last,TemperatureIn_end_ts,TemperatureIn_n_events,TemperatureOut_mean,TemperatureOut_median,TemperatureOut_min,TemperatureOut_max,TemperatureOut_std,TemperatureOut_first,TemperatureOut_last,TemperatureOut_end_ts,TemperatureOut_n_events,window_duration,stride,journey_id,user_id,timezone_offset,distance,duration,start_cluster_id,finish_cluster_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 00:55:02.352,2020-07-25 01:00:02.352,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:00:02.328,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:00:02.352,232,95.66072121212123,95.5359,94.2696,97.1844,0.9225058655500716,97.1844,94.2953,2020-07-25 01:00:08.162,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:00:02.335,232,15.202020202020202,15.555555555555555,13.333333333333334,16.666666666666668,1.2295326354552334,13.333333333333334,16.666666666666668,2020-07-25 01:00:10.571,33,6.800766283524906,7.222222222222222,5.0,8.333333333333334,1.2605888027863683,5.0,8.333333333333334,2020-07-25 01:00:04.429,29,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 00:57:32.352,2020-07-25 01:02:32.352,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:02:32.328,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:02:32.352,233,94.3377696969697,94.2742,93.2778,95.5359,0.6767543077226182,95.5359,93.2778,2020-07-25 01:02:38.162,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:02:32.335,233,16.632996632996633,16.666666666666668,15.555555555555555,17.22222222222222,0.5460361865396246,15.555555555555555,17.22222222222222,2020-07-25 01:02:40.571,33,8.313492063492063,8.333333333333334,7.222222222222222,8.88888888888889,0.5245755581905669,7.222222222222222,8.88888888888889,2020-07-25 01:02:34.429,28,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:00:02.352,2020-07-25 01:05:02.352,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:05:02.328,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:05:02.352,235,93.432065625,93.2428,92.9757,94.2742,0.4004799617407329,94.2742,92.9757,2020-07-25 01:05:08.162,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:05:02.335,235,17.135416666666664,17.22222222222222,16.666666666666668,17.22222222222222,0.20171788261496892,16.666666666666668,17.22222222222222,2020-07-25 01:05:10.571,32,8.78968253968254,8.88888888888889,8.333333333333334,8.88888888888889,0.21277391457864295,8.333333333333334,8.88888888888889,2020-07-25 01:05:04.429,28,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:02:32.352,2020-07-25 01:07:32.352,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:07:32.328,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:07:32.352,237,92.97716451612901,92.9757,92.7322,93.2078,0.15373206593204122,93.2078,92.7322,2020-07-25 01:07:38.162,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:07:32.335,237,17.419354838709676,17.22222222222222,17.22222222222222,17.77777777777778,0.26581356584572347,17.22222222222222,17.77777777777778,2020-07-25 01:07:40.571,31,9.06746031746032,8.88888888888889,8.88888888888889,9.444444444444445,0.25945827044884956,8.88888888888889,9.444444444444445,2020-07-25 01:07:34.429,28,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:05:02.352,2020-07-25 01:10:02.352,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:10:02.328,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:10:02.352,238,92.61271333333335,92.7244,92.228,92.97,0.2579434301461378,92.97,92.228,2020-07-25 01:10:08.162,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:10:02.335,238,17.722222222222225,17.77777777777778,17.22222222222222,18.333333333333332,0.2198952238340358,17.22222222222222,18.333333333333332,2020-07-25 01:10:10.571,30,9.345238095238098,9.444444444444445,8.88888888888889,9.444444444444445,0.21277391457864298,8.88888888888889,9.444444444444445,2020-07-25 01:10:04.429,28,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:07:32.352,2020-07-25 01:12:32.352,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:12:32.328,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:12:32.352,237,92.16233000000003,92.22354999999999,91.7943,92.7166,0.26659992766940604,92.7166,91.7943,2020-07-25 01:12:38.162,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:12:32.335,237,18.074074074074073,18.333333333333332,17.77777777777778,18.333333333333332,0.2771598064276984,17.77777777777778,18.333333333333332,2020-07-25 01:12:40.571,30,9.722222222222223,9.722222222222221,9.444444444444445,10.0,0.2777777777777776,9.444444444444445,10.0,2020-07-25 01:12:34.429,28,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:10:02.352,2020-07-25 01:15:02.352,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:15:02.328,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:15:02.352,238,91.74269333333335,91.78935000000001,91.3366,92.2191,0.23677725528906363,92.2191,91.3366,2020-07-25 01:15:08.162,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:15:02.335,238,18.333333333333332,18.333333333333332,18.333333333333332,18.333333333333332,0.0,18.333333333333332,18.333333333333332,2020-07-25 01:15:10.571,30,10.0,10.0,10.0,10.0,0.0,10.0,10.0,2020-07-25 01:15:04.429,29,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:12:32.352,2020-07-25 01:17:32.352,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:17:32.328,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:17:32.352,236,91.24593870967742,91.2967,90.56,91.7844,0.343727665716596,91.7844,90.56,2020-07-25 01:17:38.162,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:17:32.335,236,18.333333333333336,18.333333333333332,18.333333333333332,18.333333333333332,3.552713678800501e-15,18.333333333333332,18.333333333333332,2020-07-25 01:17:40.571,31,10.0,10.0,10.0,10.0,0.0,10.0,10.0,2020-07-25 01:17:34.429,29,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:15:02.352,2020-07-25 01:20:02.352,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:20:02.328,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:20:02.352,236,90.64517096774195,90.56,90.1201,91.2967,0.375441443562407,91.2967,90.1201,2020-07-25 01:20:08.162,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:20:02.335,236,18.333333333333336,18.333333333333332,18.333333333333332,18.333333333333332,3.552713678800501e-15,18.333333333333332,18.333333333333332,2020-07-25 01:20:10.571,31,10.0,10.0,10.0,10.0,0.0,10.0,10.0,2020-07-25 01:20:04.429,28,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:17:32.352,2020-07-25 01:22:32.352,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:22:32.328,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:22:32.352,137,90.292325,90.31075,90.1088,90.4828,0.1158082979539896,90.4828,90.1088,2020-07-25 01:22:38.162,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-25 01:22:32.335,137,18.333333333333332,18.333333333333332,18.333333333333332,18.333333333333332,0.0,18.333333333333332,18.333333333333332,2020-07-25 01:22:40.571,16,10.0,10.0,10.0,10.0,0.0,10.0,10.0,2020-07-25 01:22:34.429,16,300s,150s,1595638501800,67963401,43200000,9.479066249284427,25.271766666666668,,
