AirConditionSwitch_mean,AirConditionSwitch_median,AirConditionSwitch_min,AirConditionSwitch_max,AirConditionSwitch_std,AirConditionSwitch_first,AirConditionSwitch_last,start_ts,AirConditionSwitch_end_ts,AirConditionSwitch_n_events,ClimateAuto_mean,ClimateAuto_median,ClimateAuto_min,ClimateAuto_max,ClimateAuto_std,ClimateAuto_first,ClimateAuto_last,ClimateAuto_end_ts,ClimateAuto_n_events,HeaterSwitch_mean,HeaterSwitch_median,HeaterSwitch_min,HeaterSwitch_max,HeaterSwitch_std,HeaterSwitch_first,HeaterSwitch_last,HeaterSwitch_end_ts,HeaterSwitch_n_events,EVBatteryStateOfCharge_mean,EVBatteryStateOfCharge_median,EVBatteryStateOfCharge_min,EVBatteryStateOfCharge_max,EVBatteryStateOfCharge_std,EVBatteryStateOfCharge_first,EVBatteryStateOfCharge_last,EVBatteryStateOfCharge_end_ts,EVBatteryStateOfCharge_n_events,TargetTemperature_mean,TargetTemperature_median,TargetTemperature_min,TargetTemperature_max,TargetTemperature_std,TargetTemperature_first,TargetTemperature_last,TargetTemperature_end_ts,TargetTemperature_n_events,TemperatureIn_mean,TemperatureIn_median,TemperatureIn_min,TemperatureIn_max,TemperatureIn_std,TemperatureIn_first,TemperatureIn_last,TemperatureIn_end_ts,TemperatureIn_n_events,TemperatureOut_mean,TemperatureOut_median,TemperatureOut_min,TemperatureOut_max,TemperatureOut_std,TemperatureOut_first,TemperatureOut_last,TemperatureOut_end_ts,TemperatureOut_n_events,window_duration,stride,journey_id,user_id,timezone_offset,distance,duration,start_cluster_id,finish_cluster_id
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 10:12:20.065,2020-07-29 10:17:20.065,220,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 10:17:20.025,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 10:17:20.065,220,57.919177419354845,58.1469,56.4861,58.77,0.7882424372061527,58.7116,56.5038,2020-07-29 10:17:27.206,31,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 10:17:20.056,220,42.31182795698924,42.22222222222222,42.22222222222222,42.77777777777778,0.20433251345862746,42.22222222222222,42.22222222222222,2020-07-29 10:17:29.755,31,33.988095238095234,33.888888888888886,33.888888888888886,34.44444444444444,0.2127739145786436,33.888888888888886,33.888888888888886,2020-07-29 10:17:25.976,28,300s,150s,1596017539800,11773981,43200000,1.9846085899047206,5.82175,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 10:14:50.065,2020-07-29 10:19:50.065,153,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 10:19:50.025,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 10:19:50.065,153,56.982835,56.866,56.2362,58.058,0.5761752270577077,58.058,56.2362,2020-07-29 10:19:57.206,20,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 10:19:50.056,153,42.33333333333333,42.22222222222222,42.22222222222222,42.77777777777778,0.22222222222222288,42.77777777777778,42.22222222222222,2020-07-29 10:19:59.755,20,34.005847953216374,33.888888888888886,33.888888888888886,34.44444444444444,0.2264902541641771,33.888888888888886,33.888888888888886,2020-07-29 10:19:55.976,19,300s,150s,1596017539800,11773981,43200000,1.9846085899047206,5.82175,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 10:17:20.065,2020-07-29 10:22:20.065,43,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 10:22:20.025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 10:22:20.065,43,56.325779999999995,56.2987,56.2362,56.4489,0.08118564897813002,56.4489,56.2362,2020-07-29 10:22:27.206,5,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 10:22:20.056,43,42.22222222222222,42.22222222222222,42.22222222222222,42.22222222222222,0.0,42.22222222222222,42.22222222222222,2020-07-29 10:22:29.755,5,33.888888888888886,33.888888888888886,33.888888888888886,33.888888888888886,0.0,33.888888888888886,33.888888888888886,2020-07-29 10:22:25.976,5,300s,150s,1596017539800,11773981,43200000,1.9846085899047206,5.82175,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:41:41.420,2020-07-29 11:46:41.420,221,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:46:41.530,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:46:41.420,221,52.33531935483871,52.3037,51.7928,52.8738,0.37503540858151835,52.8738,51.7928,2020-07-29 11:46:48.606,31,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:46:41.407,221,41.95340501792114,41.666666666666664,41.666666666666664,42.77777777777778,0.34191369226413915,41.666666666666664,42.77777777777778,2020-07-29 11:46:51.157,31,33.582375478927204,33.333333333333336,33.333333333333336,34.44444444444444,0.3124426519214552,33.333333333333336,34.44444444444444,2020-07-29 11:46:47.471,29,300s,150s,1596022901200,11773981,43200000,1.9842023919780665,11.377116666666666,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:44:11.420,2020-07-29 11:49:11.420,221,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:49:11.530,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:49:11.420,221,51.809586206896554,51.7928,51.2919,52.2576,0.23622399615931103,52.2576,51.2919,2020-07-29 11:49:18.606,29,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:49:11.407,220,42.70114942528735,42.77777777777778,41.666666666666664,43.333333333333336,0.5204244332262897,42.22222222222222,43.333333333333336,2020-07-29 11:49:21.157,29,34.345238095238095,34.44444444444444,33.333333333333336,35.0,0.5566174658375219,33.333333333333336,35.0,2020-07-29 11:49:17.471,28,300s,150s,1596022901200,11773981,43200000,1.9842023919780665,11.377116666666666,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:46:41.420,2020-07-29 11:51:41.420,223,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:51:41.530,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:51:41.420,223,51.219679310344816,51.2905,50.4657,51.7762,0.44230139854871114,51.7762,50.4657,2020-07-29 11:51:48.606,29,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:51:41.407,223,43.40996168582374,43.333333333333336,42.77777777777778,43.888888888888886,0.3490587578216189,42.77777777777778,43.333333333333336,2020-07-29 11:51:51.157,29,35.05952380952381,35.0,34.44444444444444,35.55555555555556,0.3430876282894967,34.44444444444444,35.0,2020-07-29 11:51:47.471,28,300s,150s,1596022901200,11773981,43200000,1.9842023919780665,11.377116666666666,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:49:11.420,2020-07-29 11:54:11.420,193,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:54:11.530,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:54:11.420,193,50.61847600000001,50.5265,50.0967,51.2905,0.35420431988331236,51.2905,50.0967,2020-07-29 11:54:18.606,25,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:54:11.407,194,43.51111111111111,43.333333333333336,43.333333333333336,43.888888888888886,0.25915341754867743,43.333333333333336,43.333333333333336,2020-07-29 11:54:21.157,25,35.169082125603865,35.0,35.0,35.55555555555556,0.25562814599657957,35.0,35.0,2020-07-29 11:54:17.471,23,300s,150s,1596022901200,11773981,43200000,1.9842023919780665,11.377116666666666,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:51:41.420,2020-07-29 11:56:41.420,81,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 11:56:41.530,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 11:56:41.420,81,50.27656,50.27775,50.0967,50.4482,0.1192150342867879,50.4482,50.0967,2020-07-29 11:56:48.606,10,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 11:56:41.407,81,43.33333333333333,43.333333333333336,43.333333333333336,43.333333333333336,7.105427357601002e-15,43.333333333333336,43.333333333333336,2020-07-29 11:56:51.157,10,35.0,35.0,35.0,35.0,0.0,35.0,35.0,2020-07-29 11:56:47.471,9,300s,150s,1596022901200,11773981,43200000,1.9842023919780665,11.377116666666666,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 13:32:30.707,2020-07-29 13:37:30.707,220,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 13:37:30.748,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 13:37:30.707,220,48.59042903225806,48.4744,47.1305,49.8752,0.9057543903336829,49.8752,47.1305,2020-07-29 13:37:37.909,31,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 13:37:30.697,220,43.70967741935483,43.888888888888886,43.333333333333336,44.44444444444444,0.2955631272844177,44.44444444444444,43.333333333333336,2020-07-29 13:37:40.365,31,35.37698412698413,35.55555555555556,35.0,36.111111111111114,0.29893887248649614,36.111111111111114,35.0,2020-07-29 13:37:36.699,28,300s,150s,1596029550500,11773981,43200000,12.376467208657893,86.91986666666666,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 13:35:00.707,2020-07-29 13:40:00.707,219,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-07-29 13:40:00.748,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-29 13:40:00.707,219,47.07837666666668,47.12965,45.7641,48.3225,0.8147210142878487,48.3225,45.7641,2020-07-29 13:40:07.909,30,24.5,24.5,24.5,24.5,0.0,24.5,24.5,2020-07-29 13:40:00.697,219,43.37037037037036,43.333333333333336,42.77777777777778,43.888888888888886,0.24567591039669498,43.888888888888886,42.77777777777778,2020-07-29 13:40:10.365,30,35.02057613168724,35.0,34.44444444444444,35.55555555555556,0.23818594450185715,35.55555555555556,34.44444444444444,2020-07-29 13:40:06.699,27,300s,150s,1596029550500,11773981,43200000,12.376467208657893,86.91986666666666,,
