AirConditionSwitch_mean,AirConditionSwitch_median,AirConditionSwitch_min,AirConditionSwitch_max,AirConditionSwitch_std,AirConditionSwitch_first,AirConditionSwitch_last,start_ts,AirConditionSwitch_end_ts,AirConditionSwitch_n_events,ClimateAuto_mean,ClimateAuto_median,ClimateAuto_min,ClimateAuto_max,ClimateAuto_std,ClimateAuto_first,ClimateAuto_last,ClimateAuto_end_ts,ClimateAuto_n_events,HeaterSwitch_mean,HeaterSwitch_median,HeaterSwitch_min,HeaterSwitch_max,HeaterSwitch_std,HeaterSwitch_first,HeaterSwitch_last,HeaterSwitch_end_ts,HeaterSwitch_n_events,EVBatteryStateOfCharge_mean,EVBatteryStateOfCharge_median,EVBatteryStateOfCharge_min,EVBatteryStateOfCharge_max,EVBatteryStateOfCharge_std,EVBatteryStateOfCharge_first,EVBatteryStateOfCharge_last,EVBatteryStateOfCharge_end_ts,EVBatteryStateOfCharge_n_events,TargetTemperature_mean,TargetTemperature_median,TargetTemperature_min,TargetTemperature_max,TargetTemperature_std,TargetTemperature_first,TargetTemperature_last,TargetTemperature_end_ts,TargetTemperature_n_events,TemperatureIn_mean,TemperatureIn_median,TemperatureIn_min,TemperatureIn_max,TemperatureIn_std,TemperatureIn_first,TemperatureIn_last,TemperatureIn_end_ts,TemperatureIn_n_events,TemperatureOut_mean,TemperatureOut_median,TemperatureOut_min,TemperatureOut_max,TemperatureOut_std,TemperatureOut_first,TemperatureOut_last,TemperatureOut_end_ts,TemperatureOut_n_events,window_duration,stride,journey_id,user_id,timezone_offset,distance,duration,start_cluster_id,finish_cluster_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:00:52.123,2020-08-01 03:05:52.123,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:05:52.168,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:05:52.123,226,58.203611764705876,58.13835,57.7846,58.9375,0.29054866532203427,58.9341,58.1815,2020-08-01 03:05:56.418,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:05:52.123,226,16.928104575163395,16.666666666666668,16.666666666666668,17.22222222222222,0.27729677693590005,16.666666666666668,17.22222222222222,2020-08-01 03:05:58.440,34,8.592592592592592,8.333333333333334,8.333333333333334,8.88888888888889,0.2771598064276993,8.333333333333334,8.88888888888889,2020-08-01 03:05:55.168,30,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:03:22.123,2020-08-01 03:08:22.123,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:08:22.168,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:08:22.123,220,58.09414375,58.17585,57.7846,58.1815,0.11465290810065679,58.1653,58.1766,2020-08-01 03:08:26.418,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:08:22.123,221,17.20486111111111,17.22222222222222,16.666666666666668,17.22222222222222,0.09666257574357641,16.666666666666668,17.22222222222222,2020-08-01 03:08:28.440,32,8.869731800766283,8.88888888888889,8.333333333333334,8.88888888888889,0.10136978203312605,8.333333333333334,8.88888888888889,2020-08-01 03:08:25.168,29,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:05:52.123,2020-08-01 03:10:52.123,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:10:52.168,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:10:52.123,219,58.17653793103449,58.1766,58.1717,58.1812,0.0028346883053251997,58.1812,58.1717,2020-08-01 03:10:56.418,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:10:52.123,220,17.22222222222222,17.22222222222222,17.22222222222222,17.22222222222222,0.0,17.22222222222222,17.22222222222222,2020-08-01 03:10:58.440,29,8.88888888888889,8.88888888888889,8.88888888888889,8.88888888888889,0.0,8.88888888888889,8.88888888888889,2020-08-01 03:10:55.168,28,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:08:22.123,2020-08-01 03:13:22.123,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:13:22.168,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:13:22.123,175,58.1724,58.1724,58.1685,58.1762,0.002338710161048859,58.1762,58.1685,2020-08-01 03:13:26.418,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:13:22.123,175,17.318840579710145,17.22222222222222,17.22222222222222,17.77777777777778,0.2105748281903713,17.22222222222222,17.77777777777778,2020-08-01 03:13:28.440,23,8.964646464646465,8.88888888888889,8.88888888888889,9.444444444444445,0.19065238472905927,8.88888888888889,9.444444444444445,2020-08-01 03:13:25.168,22,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:10:52.123,2020-08-01 03:15:52.123,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:15:52.168,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:15:52.123,123,57.509568421052634,57.3572,56.6957,58.1713,0.6432829589834933,58.1713,56.7045,2020-08-01 03:15:56.418,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:15:52.123,123,17.514619883040936,17.77777777777778,17.22222222222222,17.77777777777778,0.27739277720775335,17.22222222222222,17.77777777777778,2020-08-01 03:15:58.440,19,9.166666666666668,9.166666666666668,8.88888888888889,9.444444444444445,0.2777777777777777,8.88888888888889,9.444444444444445,2020-08-01 03:15:55.168,16,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:13:22.123,2020-08-01 03:18:22.123,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:18:22.168,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:18:22.123,167,56.681064,56.6516,56.2729,57.3572,0.255572223655075,57.3572,56.334,2020-08-01 03:18:26.418,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:18:22.123,167,17.68888888888889,17.77777777777778,17.22222222222222,17.77777777777778,0.2036700308869268,17.22222222222222,17.77777777777778,2020-08-01 03:18:28.440,25,9.368686868686872,9.444444444444445,8.88888888888889,9.444444444444445,0.1906523847290593,8.88888888888889,9.444444444444445,2020-08-01 03:18:25.168,22,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:15:52.123,2020-08-01 03:20:52.123,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:20:52.168,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:20:52.123,137,56.52032777777778,56.57345,56.2729,56.7428,0.13617590668590476,56.6516,56.572,2020-08-01 03:20:56.418,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:20:52.123,137,17.77777777777778,17.77777777777778,17.77777777777778,17.77777777777778,0.0,17.77777777777778,17.77777777777778,2020-08-01 03:20:58.440,18,9.444444444444446,9.444444444444445,9.444444444444445,9.444444444444445,1.7763568394002505e-15,9.444444444444445,9.444444444444445,2020-08-01 03:20:55.168,18,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:18:22.123,2020-08-01 03:23:22.123,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:23:22.168,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:23:22.123,29,56.49726666666667,56.5317,56.3881,56.572,0.07892630880905473,56.3881,56.572,2020-08-01 03:23:26.418,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01 03:23:22.123,29,17.77777777777778,17.77777777777778,17.77777777777778,17.77777777777778,0.0,17.77777777777778,17.77777777777778,2020-08-01 03:23:28.440,3,9.444444444444445,9.444444444444445,9.444444444444445,9.444444444444445,0.0,9.444444444444445,9.444444444444445,2020-08-01 03:23:25.168,4,300s,150s,1596250851700,52945431,43200000,6.155271263407486,17.943783333333332,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-08-02 05:25:42.237,2020-08-02 05:30:42.237,158,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-08-02 05:30:42.297,158,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-08-02 05:30:42.237,158,78.40766521739131,78.4206,77.9854,78.7282,0.19784559550248926,78.6014,77.9854,2020-08-02 05:30:46.529,23,20.0,20.0,20.0,20.0,0.0,20.0,20.0,2020-08-02 05:30:42.236,158,16.46464646464647,16.666666666666668,16.11111111111111,16.666666666666668,0.2672476071782422,16.666666666666668,16.666666666666668,2020-08-02 05:30:48.581,22,8.166666666666668,8.333333333333334,7.777777777777778,8.333333333333334,0.2545875386086581,8.333333333333334,8.333333333333334,2020-08-02 05:30:52.297,20,300s,150s,1596345924177,52945431,43200000,4.276716973465563,14.224983333333334,,
1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-08-02 05:28:12.237,2020-08-02 05:33:12.237,126,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-08-02 05:33:12.297,126,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-08-02 05:33:12.237,126,77.78680526315789,77.7645,77.3254,78.3139,0.2963691962715005,78.3104,77.3254,2020-08-02 05:33:16.529,19,20.0,20.0,20.0,20.0,0.0,20.0,20.0,2020-08-02 05:33:12.236,126,17.067901234567902,17.22222222222222,16.666666666666668,17.22222222222222,0.24883511568822597,16.666666666666668,17.22222222222222,2020-08-02 05:33:18.581,18,8.725490196078432,8.88888888888889,8.333333333333334,8.88888888888889,0.25313616641878534,8.333333333333334,8.88888888888889,2020-08-02 05:33:22.297,17,300s,150s,1596345924177,52945431,43200000,4.276716973465563,14.224983333333334,,
